sample,question,ground_truth,raw_prediction,prediction,correct,question_type
982,"Looking at the area in the northwest corner near the main road, what happened to the small structure that was originally present?  **A)** It was renovated and kept as a small shed for the new property. **B)** It was removed to allow for the construction of a larger residential house. **C)** It was surrounded by a newly built park and playground. **D)** It remained untouched throughout the land development process.",B,B,b,True,Multiple Choice
983,"Looking at the narrow courtyard between the two parallel white building wings on the left side of the complex, what change has occurred to the tree that was located there?  **A)** It was cleared. **B)** It was recently planted. **C)** It was replaced by a small storage shed. **D)** It was surrounded by a new paved walkway.",A,A,a,True,Multiple Choice
984,"Is there a new building constructed in the upper-left quadrant of the area, situated next to the newly developed road?",Yes,No,no,False,Yes/No
985,"In the bottom-left corner of the image, what change has occurred regarding the sidewalk?  **A)** A new sidewalk was constructed as part of residential development. **B)** An existing sidewalk was demolished and replaced with grass. **C)** The sidewalk was widened into a bike path. **D)** The sidewalk was removed to expand the adjacent driveway.",A,A,a,True,Multiple Choice
986,"Has a new building been constructed in the northeast quadrant of the image, at the corner of the intersection where there was previously a wooded area?",Yes,No,no,False,Yes/No
987,"Running vertically through the center of the images, what change can be observed regarding the trail?  **A)** It was formally constructed and paved. **B)** It was removed to make way for more residential housing. **C)** It was widened into a two-lane asphalt road. **D)** It was abandoned and has become overgrown with vegetation.",A,D,d,False,Multiple Choice
988,"In the southeastern section of the property, has the large, dense tree situated between the two small white-roofed buildings been removed?",Yes,Yes,yes,True,Yes/No
989,"Has a new section of sidewalk been constructed along the street on the eastern edge of the residential block, extending the existing walkway in front of the property?",Yes,Yes,yes,True,Yes/No
990,"What has happened to the vegetation in the lower-left corner of the images, along the edge of the path?  **A)** New shrubs have been planted. **B)** The trees and shrubs have been cleared. **C)** The vegetation has changed color due to seasonal changes. **D)** A structure was built where the vegetation used to be.",B,B,b,True,Multiple Choice
991,"In the bottom right corner of the images, what change has occurred to the athletic field over time?  **A)** The field has been expanded to include a second baseball diamond. **B)** The athletic field has been replaced by a paved parking lot. **C)** The natural grass surface was replaced with artificial turf. **D)** A large building was constructed on the site of the field.",B,C,c,False,Multiple Choice
992,"In the lower-right section of the area, at the corner where the road curves, has a new building been constructed on the previously vacant plot?",Yes,Yes,yes,True,Yes/No
993,"Looking at the northeast corner of the area, what change is observed between the first and second image?  **A)** An existing building was demolished. **B)** A new house was constructed on previously empty land. **C)** The roof of the house was replaced with a different material. **D)** A large swimming pool was added to the property.",B,B,b,True,Multiple Choice
994,Has a new sidewalk segment been constructed at the street corner in the lower-right quadrant of the residential neighborhood?,Yes,Yes,yes,True,Yes/No
995,Has the sidewalk in the central part of the residential street become partially obscured by a tree canopy that has grown significantly?,Yes,Yes,yes,True,Yes/No
996,Has a new tree been planted in the front yard of the house located at the southeastern corner of the residential block?,Yes,Yes,yes,True,Yes/No
997,"In the residential area adjacent to the curved road, have trees been planted on the property bordering the street in the center-right portion of the image?",Yes,Yes,yes,True,Yes/No
998,Has a swimming pool been newly constructed in the southeast corner of the residential area?,Yes,Yes,yes,True,Yes/No
